id,scenario,label,risk_score,anomaly_score,amount_log_naira,amount_deviation_ratio,request_type_prior,has_evidence,missing_required_evidence,is_immediate,request_frequency_7d,duplicate_evidence_hint,after_hours,vendor_watchlist,new_beneficiary,purpose_length_bucket,has_bank_details
demo-row-0001,urgent_after_hours_request,1,0.7289,0.5099,5.738838407728399,4.769178947368421,0.25,1,0,1,5,0,1,0,0,1,0
demo-row-0002,normal_operating_request,0,0.4154,0.457,4.834255347806097,2.7929444444444442,0.16,0,0,0,2,0,0,0,0,1,0
demo-row-0003,missing_evidence,1,0.8656,0.5891,6.6249637433726845,3.96072,0.36,0,1,0,5,0,0,0,1,1,0
demo-row-0004,normal_operating_request,0,0.2732,0.4692,6.233293665237512,1.0131423529411765,0.36,1,0,0,0,0,0,0,0,1,1
demo-row-0005,normal_operating_request,0,0.2908,0.463,5.597660090003888,0.5341564705882353,0.36,1,0,0,3,0,0,0,0,1,1
demo-row-0006,normal_operating_request,0,0.5015,0.4108,5.727801430456678,2.8165642857142856,0.22,1,0,0,3,0,0,0,0,1,0
demo-row-0007,new_or_watchlisted_beneficiary,1,0.4904,0.4868,6.4382259659327845,2.2270588235294118,0.36,1,0,0,2,0,0,0,0,1,1
demo-row-0008,normal_operating_request,0,0.2324,0.4517,4.991810650165468,0.0329578947368421,0.25,0,0,0,4,0,0,0,0,1,0
demo-row-0009,missing_evidence,1,0.8552,0.53,5.6578042221894425,5.996646153846154,0.32,0,1,0,1,0,0,0,0,1,0
demo-row-0010,normal_operating_request,0,0.2324,0.4388,4.625271283656851,0.6986071428571429,0.22,1,0,0,4,0,0,0,0,1,0
demo-row-0011,missing_evidence,1,0.7289,0.4785,5.81143155777041,3.6270357142857144,0.22,1,0,0,4,0,1,0,0,1,0
demo-row-0012,normal_operating_request,0,0.2324,0.5105,3.6269559514354475,0.7647222222222222,0.16,1,0,0,4,0,0,0,0,1,0
demo-row-0013,normal_operating_request,0,0.2173,0.4657,5.027634965777544,0.12177894736842106,0.25,0,0,0,0,0,0,0,0,1,0
demo-row-0014,urgent_after_hours_request,1,0.5015,0.4175,5.733081651927434,2.86325,0.22,1,0,0,4,0,0,0,0,1,0
demo-row-0015,large_amount_or_unusual_frequency,1,0.7372,0.5029,5.822573406095486,8,0.32,1,0,0,7,0,0,0,0,1,0
demo-row-0016,large_amount_or_unusual_frequency,1,0.4367,0.4656,4.843917638006392,2.878277777777778,0.16,0,0,0,4,0,0,0,0,1,0
demo-row-0017,normal_operating_request,0,0.4798,0.4075,5.613747767388319,1.9350714285714286,0.22,1,0,0,1,0,0,0,0,1,0
demo-row-0018,missing_evidence,1,0.2908,0.4673,6.291412366532334,1.301405882352941,0.36,1,0,0,4,0,0,0,0,1,1
demo-row-0019,normal_operating_request,0,0.2173,0.4105,5.216084051844287,0.17477142857142858,0.22,1,0,0,2,0,0,0,0,1,0
demo-row-0020,normal_operating_request,0,0.2173,0.5367,3.6977522741677546,0.7230555555555556,0.16,0,0,0,0,0,0,0,0,1,0
demo-row-0021,missing_evidence,1,0.4904,0.4971,6.4394380172104455,2.2360776470588237,0.36,1,0,0,1,0,0,0,0,1,1
demo-row-0022,urgent_after_hours_request,1,0.7372,0.4132,5.447458831182479,3.3106615384615385,0.32,1,0,0,4,0,0,0,0,1,0
demo-row-0023,normal_operating_request,0,0.2173,0.4961,4.0521935804334746,0.37355555555555553,0.16,0,0,0,2,0,0,0,0,1,0
demo-row-0024,normal_operating_request,0,0.5015,0.4056,5.487784385254357,2.2363789473684212,0.25,1,0,0,3,0,0,0,0,1,0
demo-row-0025,normal_operating_request,0,0.2401,0.4112,5.22533513181854,1.5847538461538462,0.32,1,0,0,3,0,0,0,0,1,0
demo-row-0026,large_amount_or_unusual_frequency,1,0.8498,0.5562,6.094975358125657,7.888878571428571,0.22,0,1,0,1,0,0,0,0,1,0
demo-row-0027,normal_operating_request,0,0.4798,0.4083,5.630152158003466,2.048057142857143,0.22,1,0,0,1,0,0,0,0,1,0
demo-row-0028,normal_operating_request,0,0.2246,0.413,5.1393311521972445,1.1203846153846153,0.32,1,0,0,2,0,0,0,0,1,0
demo-row-0029,normal_operating_request,0,0.2173,0.4377,4.74723308107814,0.41183157894736844,0.25,1,0,0,0,0,0,0,0,1,0
demo-row-0030,large_amount_or_unusual_frequency,1,0.7201,0.4105,5.4373033580372025,3.2110307692307694,0.32,1,0,0,2,0,0,0,0,1,0
demo-row-0031,new_or_watchlisted_beneficiary,1,0.8656,0.5644,5.958485521592838,8,0.32,0,1,0,5,0,1,0,0,1,0
demo-row-0032,urgent_after_hours_request,1,0.4367,0.4649,4.839515755822356,2.839166666666667,0.16,0,0,0,4,0,0,0,0,1,0
demo-row-0033,new_or_watchlisted_beneficiary,1,0.2324,0.4081,5.394714279533342,1.6120947368421052,0.25,1,0,0,4,0,0,0,0,1,0
demo-row-0034,normal_operating_request,0,0.2173,0.4081,5.161329063742777,0.5261684210526316,0.25,1,0,0,2,0,0,0,0,1,0
demo-row-0035,normal_operating_request,0,0.2173,0.4128,5.232528547771395,0.22010714285714286,0.22,1,0,0,1,0,0,0,0,1,0
demo-row-0036,normal_operating_request,0,0.2401,0.44,4.775777872110808,0.08196923076923077,0.32,1,0,0,4,0,0,0,0,1,0
demo-row-0037,normal_operating_request,0,0.4367,0.4999,4.824997454329465,2.7129444444444446,0.16,0,0,0,3,0,1,0,0,1,0
demo-row-0038,missing_evidence,1,0.7372,0.4195,5.535206745891865,4.275846153846154,0.32,1,0,0,3,0,0,0,0,1,0
demo-row-0039,normal_operating_request,0,0.2173,0.4174,5.005150471332647,0.06517894736842106,0.25,1,0,0,1,0,0,0,0,1,0
demo-row-0040,normal_operating_request,0,0.4154,0.435,4.747186444594374,2.1038888888888887,0.16,1,0,0,2,0,0,0,0,1,0
demo-row-0041,large_amount_or_unusual_frequency,1,0.4258,0.4525,5.353040607810746,2.468369230769231,0.32,1,0,1,2,0,0,0,0,1,0
demo-row-0042,normal_operating_request,0,0.2246,0.4185,5.123871232757435,1.0462307692307693,0.32,1,0,0,1,0,0,0,0,1,0
demo-row-0043,normal_operating_request,0,0.2173,0.4626,4.593452219346109,1.1785555555555556,0.16,0,0,0,1,0,0,0,0,1,0
demo-row-0044,urgent_after_hours_request,1,0.7372,0.4323,5.606666143102546,5.219446153846154,0.32,1,0,0,4,0,0,0,0,1,0
demo-row-0045,normal_operating_request,0,0.2732,0.4604,5.94494041410954,0.036384705882352944,0.36,1,0,0,2,0,0,0,0,1,1
demo-row-0046,new_or_watchlisted_beneficiary,1,0.4632,0.5594,6.2998168383678115,1.3463764705882353,0.36,0,1,0,1,0,0,0,0,1,1
demo-row-0047,normal_operating_request,0,0.2732,0.5106,5.9447619126730755,0.035958823529411765,0.36,1,0,0,0,0,1,0,0,1,1
demo-row-0048,normal_operating_request,0,0.2908,0.4645,5.712371866304063,0.3933305882352941,0.36,1,0,0,4,0,0,0,0,1,1
demo-row-0049,large_amount_or_unusual_frequency,1,0.63,0.5611,5.235629433882054,1.6467538461538462,0.32,0,1,1,1,0,0,0,0,1,0
demo-row-0050,new_or_watchlisted_beneficiary,1,0.7289,0.5276,5.975213457459926,5.7466,0.22,1,0,0,8,0,0,0,0,1,0
demo-row-0051,new_or_watchlisted_beneficiary,1,0.2173,0.5405,5.054183909777005,0.19249473684210527,0.25,0,0,1,1,0,0,1,0,1,0
demo-row-0052,normal_operating_request,0,0.2732,0.4604,5.957434875759574,0.06663411764705883,0.36,1,0,0,2,0,0,0,0,1,1
demo-row-0053,urgent_after_hours_request,1,0.7289,0.4653,5.804184427548834,5.705947368421053,0.25,1,0,0,4,0,1,0,0,1,0
demo-row-0054,normal_operating_request,0,0.2173,0.4568,4.593551880238122,1.1790555555555555,0.16,0,0,0,2,0,0,0,0,1,0
demo-row-0055,missing_evidence,1,0.2324,0.4452,4.659202877464531,1.5346666666666666,0.16,1,0,0,4,0,0,0,0,1,0
demo-row-0056,normal_operating_request,0,0.2648,0.4088,5.508440831004749,1.303092857142857,0.22,1,0,0,2,0,0,0,0,1,0
demo-row-0057,normal_operating_request,0,0.2401,0.4449,4.547331572835672,0.4574923076923077,0.32,1,0,0,3,0,0,0,0,1,0
demo-row-0058,urgent_after_hours_request,1,0.4258,0.4211,5.406992973066232,2.927153846153846,0.32,1,0,0,0,0,0,0,0,1,0
demo-row-0059,normal_operating_request,0,0.2246,0.4177,5.0812284547438695,0.8548615384615385,0.32,1,0,0,2,0,0,0,0,1,0
demo-row-0060,normal_operating_request,0,0.2173,0.5123,3.4139699717480614,0.8559444444444444,0.16,1,0,0,0,0,0,0,0,1,0
